sampleID	stn	lat	lon	obstime	Salin	Temp	chla	Ptot	Ntot	PO4	pH	NH4	NO3	dist	stnDepth
3783	68	60.136	24.86	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3784	68	60.136	24.86	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4456	125	60.098	24.892	1967-06-06	5.68	7.7	NA	NA	NA	0.129	8	0	7.143	5727	28
4457	125	60.098	24.892	1967-06-06	5.68	7	NA	NA	NA	0.161	8	7.143	7.143	5727	28
4458	125	60.098	24.892	1967-06-06	5.68	7	NA	NA	NA	0.161	8	7.143	7.143	5727	28
16944	75	60.158	24.831	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17181	81	60.183	24.841	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17281	87	60.193	24.848	1967-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17282	87	60.193	24.848	1967-06-06	4.8	15.3	NA	12.903	NA	10.968	8.1	7.143	0.714	423	3.5
3785	68	60.136	24.86	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3787	68	60.136	24.86	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3788	68	60.136	24.86	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4150	107	60.113	24.768	1967-06-27	5.91	9.5	NA	NA	NA	NA	8.6	32.143	0.714	1666	18
4459	125	60.098	24.892	1967-06-27	5.86	9.4	NA	NA	NA	NA	8.1	2.143	0.714	5727	28
4461	125	60.098	24.892	1967-06-27	5.86	9.4	NA	NA	NA	NA	8.1	2.857	0.714	5727	28
4462	125	60.098	24.892	1967-06-27	5.86	9.4	NA	NA	NA	NA	8.1	2.857	0.714	5727	28
16945	75	60.158	24.831	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17182	81	60.183	24.841	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17283	87	60.193	24.848	1967-06-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17284	87	60.193	24.848	1967-06-27	5.08	17	NA	NA	NA	NA	9	8.571	0.714	423	3.5
2616	36	60.147	25.137	1967-07-04	5.81	11	NA	NA	NA	0	8	30	2.143	2665	33
3346	114	60.082	25.125	1967-07-04	5.84	11.5	NA	NA	NA	0	8.1	0.357	1.429	8515	47
18161	111	60.194	25.195	1967-07-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	690	13
18422	113	60.239	25.232	1967-07-04	5.7	13.5	NA	NA	NA	0	7.9	7.857	1.714	702	7
3789	68	60.136	24.86	1967-07-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3791	68	60.136	24.86	1967-07-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3792	68	60.136	24.86	1967-07-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4151	107	60.113	24.768	1967-07-18	6.24	13.6	NA	NA	NA	NA	8	NA	1.786	1666	18
4463	125	60.098	24.892	1967-07-18	6.2	13	NA	NA	NA	NA	8	NA	0.929	5727	28
4464	125	60.098	24.892	1967-07-18	6.24	11.3	NA	NA	NA	NA	8	NA	0.714	5727	28
4465	125	60.098	24.892	1967-07-18	6.24	11.3	NA	NA	NA	NA	8	NA	0.714	5727	28
16946	75	60.158	24.831	1967-07-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17183	81	60.183	24.841	1967-07-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17285	87	60.193	24.848	1967-07-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17286	87	60.193	24.848	1967-07-18	5.46	18.5	NA	NA	NA	NA	9	135.714	0.643	423	3.5
19199	124	60.118	24.811	1967-07-18	6.2	14.7	NA	NA	NA	NA	8	214.286	0.643	3747	24.2
2617	36	60.147	25.137	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	2665	33
3347	114	60.082	25.125	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	8515	47
3793	68	60.136	24.86	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3794	68	60.136	24.86	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3795	68	60.136	24.86	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4152	107	60.113	24.768	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	1666	18
4466	125	60.098	24.892	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
4467	125	60.098	24.892	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
4468	125	60.098	24.892	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	5727	28
15907	4	60.193	24.991	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	329	2.5
16404	25	60.193	25.087	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	331	5
16947	75	60.158	24.831	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17184	81	60.183	24.841	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17287	87	60.193	24.848	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17288	87	60.193	24.848	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
18162	111	60.194	25.195	1967-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	690	13
3796	68	60.136	24.86	1967-08-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3797	68	60.136	24.86	1967-08-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3798	68	60.136	24.86	1967-08-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4153	107	60.113	24.768	1967-08-15	6.06	16.7	NA	NA	NA	0.032	8.5	0	0.714	1666	18
4469	125	60.098	24.892	1967-08-15	5.9	15.8	NA	NA	NA	0	8.1	3.571	0.714	5727	28
4470	125	60.098	24.892	1967-08-15	5.91	15.4	NA	NA	NA	0	8.1	0	0.714	5727	28
4471	125	60.098	24.892	1967-08-15	5.91	15.4	NA	NA	NA	0	8.1	0	0.714	5727	28
16948	75	60.158	24.831	1967-08-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	649	8
17185	81	60.183	24.841	1967-08-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	6.3
17289	87	60.193	24.848	1967-08-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17290	87	60.193	24.848	1967-08-15	5.57	19.2	NA	11.935	NA	11.935	9.1	5	0.714	423	3.5
19200	124	60.118	24.811	1967-08-15	NA	16	NA	1.419	NA	0.032	7.9	23.571	0.714	3747	24.2
2618	36	60.147	25.137	1967-08-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	2665	33
3799	68	60.136	24.86	1967-08-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3800	68	60.136	24.86	1967-08-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3801	68	60.136	24.86	1967-08-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
15908	4	60.193	24.991	1967-08-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	329	2.5
16405	25	60.193	25.087	1967-08-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	331	5
18163	111	60.194	25.195	1967-08-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	690	13
3348	114	60.082	25.125	1967-08-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	8515	47
