"pel"	"year"	"mon"	"var"	"value"	"time"
"145"	0	1987	8	"ntot"	902.352941176471	1987.62820306205
"146"	0	1987	8	"ptot"	73.7647058823529	1987.62820306205
"147"	0	1987	9	"ntot"	1321.42857142857	1987.71545988258
"148"	0	1987	9	"ptot"	150	1987.71545988258
"149"	0	1988	6	"ntot"	734.375	1988.4525273224
"150"	0	1988	6	"ptot"	64	1988.4525273224
"151"	0	1988	7	"ntot"	796.5	1988.52691256831
"152"	0	1988	7	"ptot"	117.55	1988.52691256831
"153"	0	1988	8	"ntot"	1017.05882352941	1988.61603985857
"154"	0	1988	8	"ptot"	87.7647058823529	1988.61603985857
"155"	0	1988	9	"ntot"	1224.28571428571	1988.71194379391
"156"	0	1988	9	"ptot"	72.4285714285714	1988.71194379391
"157"	0	1989	6	"ntot"	681.25	1989.45342465753
"158"	0	1989	6	"ptot"	64.25	1989.45342465753
"159"	0	1989	7	"ntot"	758.5	1989.53273972603
"160"	0	1989	7	"ptot"	79.3	1989.53273972603
"161"	0	1989	8	"ntot"	823.157894736842	1989.62162941601
"162"	0	1989	8	"ptot"	83.2105263157895	1989.62162941601
"163"	0	1989	9	"ntot"	965	1989.71506849315
"164"	0	1989	9	"ptot"	69.8333333333333	1989.71506849315
"165"	0	1990	6	"ntot"	760.625	1990.45051369863
"166"	0	1990	6	"ptot"	67.625	1990.45051369863
"167"	0	1990	7	"ntot"	826.190476190476	1990.52080887149
"168"	0	1990	7	"ptot"	91.2857142857143	1990.52080887149
"169"	0	1990	8	"ntot"	832.5	1990.62191780822
"170"	0	1990	8	"ptot"	83.6666666666667	1990.62191780822
"171"	0	1990	9	"ntot"	745	1990.69589041096
"172"	0	1990	9	"ptot"	53.9	1990.69589041096
"173"	0	1991	6	"ntot"	1035	1991.47089041096
"174"	0	1991	6	"ptot"	57.125	1991.47089041096
"175"	0	1991	7	"ntot"	953	1991.53397260274
"176"	0	1991	7	"ptot"	78.1	1991.53397260274
"177"	0	1991	8	"ntot"	782	1991.60675799087
"178"	0	1991	8	"ptot"	61.6	1991.60675799087
"179"	0	1991	9	"ntot"	722.5	1991.67773972603
"180"	0	1991	9	"ptot"	62.375	1991.67773972603
"181"	0	1992	6	"ntot"	686.153846153846	1992.47225725095
"182"	0	1992	6	"ptot"	70.9230769230769	1992.47225725095
"183"	0	1992	7	"ntot"	549.230769230769	1992.51345102984
"184"	0	1992	7	"ptot"	50.3846153846154	1992.51345102984
"185"	0	1992	8	"ntot"	653.125	1992.60860655738
"186"	0	1992	8	"ptot"	55.0625	1992.60860655738
"187"	0	1992	9	"ntot"	1339.04761904762	1992.68878480354
"188"	0	1992	9	"ptot"	67.0476190476191	1992.68878480354
"189"	0	1993	6	"ntot"	648.125	1993.48407534247
"190"	0	1993	6	"ptot"	51.4375	1993.48407534247
"191"	0	1993	7	"ntot"	780	1993.52876712329
"192"	0	1993	7	"ptot"	71.5	1993.52876712329
"193"	0	1993	8	"ntot"	944.166666666667	1993.61141552511
"194"	0	1993	8	"ptot"	63.5	1993.61141552511
"195"	0	1993	9	"ntot"	668.461538461538	1993.73361433087
"196"	0	1993	9	"ptot"	48.4615384615385	1993.73361433087
"197"	0	1994	6	"ntot"	1130	1994.46849315068
"198"	0	1994	6	"ptot"	65	1994.46849315068
"199"	0	1994	7	"ntot"	551.875	1994.55445205479
"200"	0	1994	7	"ptot"	51.625	1994.55445205479
"201"	0	1994	8	"ntot"	599	1994.61890410959
"202"	0	1994	8	"ptot"	48.1	1994.61890410959
"203"	0	1994	9	"ntot"	1110	1994.68904109589
"204"	0	1994	9	"ptot"	87	1994.68904109589
"205"	0	1995	6	"ntot"	892.5	1995.46438356164
"206"	0	1995	6	"ptot"	72	1995.46438356164
"207"	0	1995	7	"ntot"	580	1995.54140030441
"208"	0	1995	7	"ptot"	70.5	1995.54140030441
"209"	0	1995	8	"ntot"	550.714285714286	1995.62935420744
"210"	0	1995	8	"ptot"	53.0714285714286	1995.62935420744
"211"	0	1995	9	"ntot"	845	1995.69452054795
"212"	0	1995	9	"ptot"	57.5	1995.69452054795
"213"	0	1996	6	"ntot"	1464.54545454545	1996.45032290114
"214"	0	1996	6	"ptot"	67.3636363636364	1996.45032290114
"215"	0	1996	7	"ntot"	965.263157894737	1996.55162496405
"216"	0	1996	7	"ptot"	72.8421052631579	1996.55162496405
"217"	0	1996	8	"ntot"	592.222222222222	1996.62234365513
"218"	0	1996	8	"ptot"	48.7777777777778	1996.62234365513
"219"	0	1996	9	"ntot"	648.75	1996.69706284153
"220"	0	1996	9	"ptot"	65.25	1996.69706284153
"221"	0	1997	6	"ntot"	484	1997.45753424658
"222"	0	1997	6	"ptot"	49	1997.45753424658
"223"	0	1997	7	"ntot"	591.875	1997.54640410959
"224"	0	1997	7	"ptot"	50.4375	1997.54640410959
"225"	0	1997	8	"ntot"	691.666666666667	1997.61506849315
"226"	0	1997	8	"ptot"	59.6666666666667	1997.61506849315
"227"	0	1997	9	"ntot"	646	1997.6904109589
"228"	0	1997	9	"ptot"	51.2	1997.6904109589
"229"	0	1998	6	"ntot"	684	1998.46520547945
"230"	0	1998	6	"ptot"	55	1998.46520547945
"231"	0	1998	7	"ntot"	909.473684210526	1998.54996395097
"232"	0	1998	7	"ptot"	68.8947368421053	1998.54996395097
"233"	0	1998	8	"ntot"	626.153846153846	1998.61538461538
"234"	0	1998	8	"ptot"	60.8461538461538	1998.61538461538
"235"	0	1998	9	"ntot"	868	1998.68657534247
"236"	0	1998	9	"ptot"	49.6	1998.68657534247
"237"	0	1999	6	"ntot"	605.714285714286	1999.43561643836
"238"	0	1999	6	"ptot"	56.1428571428571	1999.43561643836
"239"	0	1999	7	"ntot"	560.47619047619	1999.54246575342
"240"	0	1999	7	"ptot"	50.5714285714286	1999.54246575342
