sampleID	valid_AphiaID	ww
2485	146585	0.965
2485	609460	10.091
2485	160567	0.002
2485	146552	5.194
2485	177590	21.629
2485	17640	5.921
2485	17640	15.506
2485	17640	14.097
2485	115090	5.921
2485	115090	19.594
2485	5	42.572
2485	5	6.766
2485	179320	22.074
2485	118051	1.67
2485	109603	17.808
2485	109477	16.916
2485	109538	2.968
2485	109538	5.194
2485	110208	2.968
2485	110210	5.38
2485	571996	59.206
2485	555951	4.948
2485	163474	0.564
2485	388485	24.81
2485	160599	53.568
2485	149297	0.341
2485	465524	0.282
2485	160524	9.868
2485	149287	0.31
2485	149074	35.524
2485	156690	11.872
2485	149014	6.53
2485	149142	4.229
2485	149150	0.846
2485	17657	9.304
2485	134566	0.677
2485	134529	7.499
2485	18526	3.101
2485	178583	0.282
2485	178623	2.115
2485	163108	0.141
2485	160591	1.576
2485	248141	31.013
2485	178936	11.277
2485	580116	0.482
2485	572067	0.668
2486	177484	108.545
2486	146546	0.74
2486	162673	265.934
2486	249690	492.873
2486	146585	0.001
2486	146585	8.681
2486	609460	181.642
2486	160567	0.002
2486	146552	16.324
2486	177590	54.522
2486	17640	4.835
2486	17640	17.268
2486	17640	2.467
2486	115090	9.621
2486	115090	46.872
2486	5	49.585
2486	5	19.735
2486	179320	158.417
2486	118051	3.339
2486	109603	26.712
2486	109477	5.921
2486	109538	8.904
2486	110208	5.936
2486	160553	0.395
2486	571996	59.206
2486	555951	8.98
2486	388485	11.841
2486	160599	96.21
2486	149297	1.135
2486	465524	0.37
2486	160524	1.233
2486	341285	0.074
2486	149287	1.752
2486	149074	22.449
2486	156690	23.744
2486	156690	8.904
2486	149014	26.118
2486	149142	1.233
2486	17657	17.022
2486	134566	0.395
2486	134529	50.424
2486	18526	3.207
2486	178583	0.247
2486	178623	1.85
2486	160591	2.341
2486	248141	27.136
2486	178936	44.405
2486	580116	0.622
2487	177484	28.222
2487	146546	0.16
2487	162673	8.98
2487	249690	175.019
2487	146585	0.001
2487	146585	27.009
2487	609460	144.245
2487	160567	0.002
2487	160566	20.034
2487	146552	2.226
2487	177590	3.102
2487	17640	13.213
2487	17640	13.469
